date,Metro Red Line,Metro Green Line,Tram,Bus,Marine,E-Hail,Car-Share,Bus on Demand,Taxi,Metro
2/1/2025,512392,263812,26232,396500,73053,234191,1813,1663,595995,776204
2/2/2025,428384,221174,21471,380613,71919,191373,1675,1342,554613,649558
2/3/2025,611765,288766,29598,477358,55921,226247,1346,2104,556760,900531
2/4/2025,613768,283307,29596,473400,54447,221189,1396,2145,557673,897075
2/5/2025,616477,285138,29698,471746,56363,249410,1526,2204,568141,901615
2/6/2025,611788,282176,30491,468184,54462,268242,1458,2230,575477,893964
2/7/2025,586273,278888,30257,450050,60244,256416,1550,2166,610886,865161
2/8/2025,511656,268642,27445,400355,75752,219023,1685,1738,597217,780298
2/9/2025,428634,227956,22515,386529,77112,184510,1736,1352,568531,656590
2/10/2025,603918,288711,29903,484653,58511,212035,1402,2220,565392,892629
2/11/2025,603233,286074,30233,479878,58963,222548,1475,2276,566372,889307
2/12/2025,592939,282718,29558,477588,55349,225458,1448,2325,576373,875657
2/13/2025,589855,279073,30867,468787,53719,242395,1518,2401,592138,868928
2/14/2025,592441,276852,31902,443533,58577,254439,1685,2320,629577,869293
2/15/2025,513507,265634,27607,399866,71635,224281,1794,1901,602602,779141
2/16/2025,429410,223009,23141,389917,73146,198547,1724,1530,577407,652419
2/17/2025,633939,293212,29786,485713,54290,263797,1461,2347,553534,927151
2/18/2025,645124,286137,30343,467072,53174,277584,1533,2458,546654,931261
2/19/2025,649766,292768,31550,476625,58867,295884,1560,2445,568545,942534
2/20/2025,642855,289876,32186,472183,57970,310173,1553,2514,571915,932731
2/21/2025,622670,285231,33871,447649,64653,312275,1693,2316,607613,907901
2/22/2025,513628,268834,30317,400351,77124,273628,1872,1828,611770,782462
2/23/2025,406913,210540,24641,372319,72159,229009,1763,1468,589646,617453
2/24/2025,600669,289621,30208,484243,58772,263905,1542,2289,565556,890290
2/25/2025,604542,287307,30750,474506,55110,271392,1563,2306,563809,891849
2/26/2025,612873,292361,30439,485007,55402,267318,1633,2300,577556,905234
2/27/2025,607655,288603,30494,476415,53323,265505,1606,2441,578068,896258
2/28/2025,598282,281662,30597,448394,55619,250494,1671,2329,600142,879944
3/1/2025,474824,232164,24798,376665,56348,180108,1701,1732,547667,706988
3/2/2025,383153,189906,19587,346070,53573,141598,1510,1417,527359,573059
3/3/2025,586511,277001,29143,478580,48052,181874,1505,2174,517347,863512
3/4/2025,582013,268903,29613,474242,50376,180686,1574,2298,517951,850916
3/5/2025,590071,302735,29070,483734,50622,182361,1570,2234,529844,892806
3/6/2025,580529,270607,29622,473936,48363,189283,1505,2283,537009,851136
3/7/2025,568743,264175,29863,449664,50581,186986,1609,2353,567670,832918
3/8/2025,488646,250152,24800,399997,60080,169215,1753,1847,556403,738798
3/9/2025,381650,197669,19048,355649,53375,137139,1743,1507,498507,579319
3/10/2025,584185,278205,28754,489955,51122,174564,1608,2259,528642,862390
3/11/2025,552765,265575,29064,478890,49503,171538,1627,2279,527143,818340
3/12/2025,577121,274237,28956,482395,48929,176449,1605,2348,535309,851358
3/13/2025,575814,272385,29415,478652,47913,186137,1629,2441,549864,848199
3/14/2025,565785,264220,29476,450818,51315,181599,1750,2365,570407,830005
3/15/2025,490182,256421,25399,400625,61521,162014,1806,1883,546752,746603
3/16/2025,389653,207360,20065,367150,58539,133389,1672,1572,498099,597013
3/17/2025,584038,278442,28536,487980,50843,173966,1743,2535,527450,862480
3/18/2025,572130,270652,28384,473663,47435,173045,1720,2413,526580,842782
3/19/2025,571454,270842,28541,477413,48764,177795,1690,2497,538977,842296
3/20/2025,565859,266985,28780,471775,46136,185653,1735,2528,552817,832844
3/21/2025,557958,260463,28875,437131,47685,183163,1686,2439,571411,818421
3/22/2025,476971,246087,24812,390732,56993,157397,1883,2025,540040,723058
3/23/2025,377233,198594,19927,352531,56507,130800,1727,1600,487263,575827
3/24/2025,567045,268271,28055,472484,48994,165866,1795,2498,506490,835316
3/25/2025,564012,264882,27681,461811,46350,153263,1613,2505,533997,828894
3/26/2025,559964,262682,26721,463438,44593,146832,1742,2556,538561,822646
3/27/2025,567121,267349,26962,463732,44917,159720,1661,2524,562151,834470
3/28/2025,563757,263814,27330,443794,48354,160749,1788,2489,580546,827571
3/29/2025,517968,260289,24557,400301,61123,149910,1764,2294,580516,778257
3/30/2025,604197,287164,35333,472918,161120,142160,1881,1494,617032,891361
3/31/2025,608978,266699,46135,454261,154865,137492,1643,1623,551785,875677
4/1/2025,451586,209280,29662,402045,93006,140003,1570,1750,517408,660866
4/2/2025,526472,247927,26573,443815,54937,160162,1477,2311,550865,774399
4/3/2025,541659,256916,27740,456185,52227,161994,1489,2498,576319,798575
4/4/2025,539374,255099,27278,433277,51521,190267,1567,2609,599564,794473
4/5/2025,472207,244778,24414,387352,57831,171178,1680,2231,605447,716985
4/6/2025,390842,200140,20708,362560,58424,167164,1762,1685,566527,590982
4/7/2025,574239,274990,27235,481408,45476,206968,1568,2748,585618,849229
4/8/2025,575294,271823,27409,472507,46936,215801,1643,1390,588089,847117
4/9/2025,577641,271984,27621,473356,47017,230975,1602,2897,585968,849625
4/10/2025,570424,272165,28554,459959,49026,244323,1498,2875,599084,842589
4/11/2025,565741,269027,29568,450135,51626,246578,1633,2907,630508,834768
4/12/2025,491902,254740,26702,407386,60823,220166,1799,2350,623231,746642
4/13/2025,409095,226145,22963,384592,62284,187924,1721,1770,591438,635240
4/14/2025,578803,277471,28804,483753,50619,237669,1596,2875,595889,856274
4/15/2025,583159,275945,30278,477764,49359,245791,1662,2954,596872,859104
4/16/2025,566597,276815,29856,480174,49701,259090,1560,2781,592632,843412
4/17/2025,578429,282835,30554,478492,50346,264969,1580,2757,601732,861264
4/18/2025,578403,294228,31125,452701,55923,270617,1714,2738,628690,872631
4/19/2025,502182,259386,28403,404453,67283,231193,1764,2138,615969,761568
4/20/2025,418626,256885,24330,398266,67718,194099,1770,1740,580584,675511
4/21/2025,573440,278723,28938,486964,52105,222533,1504,2728,570497,852163
4/22/2025,571073,273819,30131,477668,50139,225725,1526,2731,570132,844892
4/23/2025,573706,273476,29473,479304,49445,234751,1444,2839,584635,847182
4/24/2025,567948,269504,29079,475697,48215,248361,1549,2891,593585,837452
4/25/2025,567438,269895,29808,452558,50410,255685,1599,2762,628739,837333
4/26/2025,486887,257411,26874,406878,60687,222747,1732,2285,618760,744298
4/27/2025,392753,202137,23222,371337,57692,189911,1687,1694,592160,594890
4/28/2025,590533,281629,28422,492355,45363,273417,1654,2822,584358,872162
4/29/2025,598846,278675,29754,483209,43383,304741,1539,2805,587354,877521
4/30/2025,599348,280928,29548,485299,45201,317907,1437,2943,602609,880276
5/1/2025,597140,278647,30339,484991,46238,326938,1556,2939,596281,875787
5/2/2025,581599,278109,30877,462573,48317,315701,1503,2917,651593,859708
5/3/2025,503730,266782,27239,419546,57375,248365,1609,2364,637439,770512
5/4/2025,411894,216704,22748,392291,57460,194294,1259,1825,597958,628598
5/5/2025,582082,284865,28417,498714,45692,235741,1440,2966,588658,866947
5/6/2025,579972,280389,28732,487501,43487,242586,1461,3015,591435,860361
5/7/2025,578966,277216,28794,484952,43791,240587,1519,2944,593975,856182
5/8/2025,576329,277534,28774,482144,43386,249280,1321,2982,600848,853863
5/9/2025,568934,275260,29576,457901,47521,233140,1493,2979,641039,844194
5/10/2025,491618,260009,26062,416622,54574,198461,1561,2406,617982,751627
5/11/2025,400399,212345,22076,391256,54880,159459,1610,1761,572792,612744
